,Country,City,Confirmed,Recovered,Deaths,Latitude,Longtitude
344,Germany,Hamburg,4358,0,122,53.5437641,10.0099133
345,Germany,Schleswig-Holstein,2557,0,88,54.1853998,9.8220089
346,Germany,Brandenburg,2536,0,90,52.8455492,13.2461296
347,Germany,Saarland,2445,0,105,49.4173988,6.9805789
348,Germany,Thuringia,2023,0,65,50.7333163,11.0747905
349,Germany,Saxony-Anhalt,1436,0,35,51.908526,11.4939134
350,Germany,Bremen,707,0,27,53.0758196,8.8071646
351,Germany,Mecklenburg-Vorpommern,661,0,16,53.7735234,12.5755746
352,Hungary,Budapest,16320,0,0,47.4983815,19.0404707
353,Hungary,Pest County,5207,0,0,47.3715943,19.3452624
354,Hungary,Fejér,2350,0,0,47.0939434,18.6088562
355,Hungary,Gyor-Moson-Sopron,1248,0,0,47.6610134,17.3796437
356,Hungary,Csongrád,1064,0,0,46.4515164,20.2277606
357,Hungary,Szabolcs-Szatmár-Bereg,912,0,0,48.0297821,22.0040108
358,Hungary,Borsod-Abaúj-Zemplén,745,0,0,48.2397936,21.1353474
359,Hungary,Baranya,687,0,0,45.9714436,18.1669246
360,Hungary,Veszprém,673,0,0,47.0928058,17.9140147
361,Hungary,Komárom-Esztergom,629,0,0,47.6511599,18.2551911
362,Hungary,Zala County,619,0,0,46.6713343,16.8894692
363,Hungary,Bács-Kiskun,497,0,0,46.5809294,19.5128532
364,Hungary,Somogy County,460,0,0,46.439656,17.6212956
365,Hungary,Hajdú-Bihar,414,0,0,47.4407848,21.4752281
366,Hungary,Nógrád County,385,0,0,47.9873616,19.5472495
367,Hungary,Jász-Nagykun-Szolnok,327,0,0,47.2971598,20.453178
368,Hungary,Vas County,314,0,0,47.1371935,16.780898
369,Hungary,Tolna County,305,0,0,46.4883447,18.5050005
370,Hungary,Békés County,248,0,0,46.7862993,20.9820736
371,Hungary,Heves County,209,0,0,47.7884409,20.1714412
372,Iceland,Capital Region,1160,0,0,64.17271375,-21.566757543352054
373,Iceland,Southern Region,171,0,0,64.1282428,-19.724859570143998
